time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,station
2023-01-01,7.8,2.5,15.3,0.0,0.0,208.0,5.3,20.4,1023.1,0.0,12566
2023-01-02,4.5,-0.7,12.7,0.0,0.0,148.0,4.8,18.5,1023.4,0.0,12566
2023-01-03,6.3,3.2,9.3,0.0,0.0,234.0,13.1,31.5,1027.9,0.0,12566
2023-01-04,3.3,-2.3,8.5,0.2,0.0,227.0,10.7,42.6,1025.3,0.0,12566
2023-01-05,8.1,5.0,10.0,1.3,0.0,245.0,30.3,57.4,1012.3,0.0,12566
2023-01-06,4.1,2.2,7.5,0.4,0.0,240.0,12.7,40.8,1022.0,0.0,12566
2023-01-07,5.2,-0.5,11.3,0.5,0.0,269.0,7.4,24.1,1021.6,0.0,12566
2023-01-01,9.0,3.2,13.6,0.0,0.0,282.0,9.3,0.0,1023.1,0.0,EPNT0
2023-01-02,4.6,1.7,8.4,0.0,0.0,340.0,5.4,0.0,1023.6,0.0,EPNT0
2023-01-03,3.9,1.6,6.1,0.0,0.0,291.0,8.0,0.0,1027.7,0.0,EPNT0
2023-01-04,1.7,-2.9,4.9,0.6,0.0,270.0,11.3,0.0,1026.1,0.0,EPNT0
2023-01-05,4.4,2.0,5.5,14.2,0.0,269.0,21.8,0.0,1013.7,0.0,EPNT0
2023-01-06,1.8,-0.3,4.6,0.9,0.0,275.0,14.4,0.0,1022.3,0.0,EPNT0
2023-01-07,3.0,-2.0,5.9,1.1,0.0,235.0,6.4,0.0,1021.6,0.0,EPNT0
2023-01-01,11.4,8.0,14.0,0.0,0.0,223.0,21.1,38.9,1021.0,0.0,12560
2023-01-02,8.3,3.0,13.0,0.0,0.0,204.0,15.3,31.5,1021.0,0.0,12560
2023-01-03,5.6,-1.0,9.0,0.0,0.0,256.0,13.8,29.6,1026.3,0.0,12560
2023-01-04,2.5,-5.0,7.0,1.5,0.0,205.0,21.0,51.8,1022.1,0.0,12560
2023-01-05,6.7,4.0,9.0,10.3,0.0,263.0,27.8,50.0,1010.5,0.0,12560
2023-01-06,4.0,1.0,7.0,0.8,0.0,237.0,14.7,29.6,1019.6,0.0,12560
2023-01-07,4.5,-1.0,9.0,0.0,0.0,190.0,9.4,22.2,1019.3,0.0,12560
